repeat,epoch,inference_ms,gpu_mem_MB
1,1,714.8981094360352,52.286976
2,1,704.5807838439941,52.286976
3,1,705.2764892578125,52.286976
4,1,716.0332202911377,52.286976
5,1,713.047981262207,52.286976
6,1,714.2465114593506,52.286976
7,1,707.9594135284424,52.286976
8,1,746.0544109344482,52.286976
9,1,693.8667297363281,52.286976
10,1,722.1815586090088,52.286976
11,1,707.3450088500977,52.286976
12,1,707.4854373931885,52.286976
13,1,703.1872272491455,52.286976
14,1,705.2526473999023,52.286976
15,1,713.3302688598633,52.286976
16,1,701.8795013427734,52.286976
17,1,705.0948143005371,52.286976
18,1,709.2578411102295,52.286976
19,1,708.7345123291016,52.286976
20,1,700.27756690979,52.286976
21,1,728.1439304351807,52.286976
22,1,714.0181064605713,52.286976
23,1,707.6070308685303,52.286976
24,1,719.6118831634521,52.286976
25,1,721.5797901153564,52.286976
26,1,709.6450328826904,52.286976
27,1,699.709415435791,52.286976
28,1,714.1385078430176,52.286976
29,1,710.4942798614502,52.286976
30,1,708.1425189971924,52.286976
31,1,714.869499206543,52.286976
32,1,706.5525054931641,52.286976
33,1,695.0366497039795,52.286976
34,1,705.4753303527832,52.286976
35,1,706.8073749542236,52.286976
36,1,709.6188068389893,52.286976
37,1,707.0882320404053,52.286976
38,1,711.6866111755371,52.286976
39,1,712.8534317016602,52.286976
40,1,711.4288806915283,52.286976
41,1,697.8070735931396,52.286976
42,1,708.0676555633545,52.286976
43,1,710.3397846221924,52.286976
44,1,703.9110660552979,52.286976
45,1,709.1541290283203,52.286976
46,1,709.8515033721924,52.286976
47,1,716.0775661468506,52.286976
48,1,708.8408470153809,52.286976
49,1,723.6297130584717,52.286976
50,1,706.6659927368164,52.286976
51,1,709.9723815917969,52.286976
52,1,700.2239227294922,52.286976
53,1,716.4411544799805,52.286976
54,1,706.770658493042,52.286976
55,1,710.8733654022217,52.286976
56,1,702.3522853851318,52.286976
57,1,711.6146087646484,52.286976
58,1,713.4878635406494,52.286976
59,1,707.0496082305908,52.286976
60,1,699.1386413574219,52.286976
61,1,716.45188331604,52.286976
62,1,724.0948677062988,52.286976
63,1,705.571174621582,52.286976
64,1,705.4049968719482,52.286976
65,1,705.4476737976074,52.286976
66,1,705.8815956115723,52.286976
67,1,708.8592052459717,52.286976
68,1,698.6503601074219,52.286976
69,1,715.2061462402344,52.286976
70,1,704.1733264923096,52.286976
71,1,713.263750076294,52.286976
72,1,717.5641059875488,52.286976
73,1,702.8794288635254,52.286976
74,1,708.7695598602295,52.286976
75,1,704.0348052978516,52.286976
76,1,703.9785385131836,52.286976
77,1,710.9572887420654,52.286976
78,1,712.5504016876221,52.286976
79,1,707.587718963623,52.286976
80,1,701.8792629241943,52.286976
81,1,714.2031192779541,52.286976
82,1,736.5574836730957,52.286976
83,1,701.7412185668945,52.286976
84,1,701.7650604248047,52.286976
85,1,706.3636779785156,52.286976
86,1,709.3636989593506,52.286976
87,1,713.2301330566406,52.286976
88,1,714.2670154571533,52.286976
89,1,711.245059967041,52.286976
90,1,713.7584686279297,52.286976
91,1,701.3897895812988,52.286976
92,1,703.2907009124756,52.286976
93,1,707.0319652557373,52.286976
94,1,703.7577629089355,52.286976
95,1,708.3673477172852,52.286976
96,1,709.9583148956299,52.286976
97,1,705.5010795593262,52.286976
98,1,705.4469585418701,52.286976
99,1,705.1255702972412,52.286976
100,1,722.6529121398926,52.286976
