repeat,epoch,inference_ms,gpu_mem_MB
1,1,704.9391269683838,17.642496
2,1,700.6344795227051,17.642496
3,1,698.3027458190918,17.642496
4,1,705.021858215332,17.642496
5,1,705.3830623626709,17.642496
6,1,699.5823383331299,17.642496
7,1,698.2543468475342,17.642496
8,1,700.3624439239502,17.642496
9,1,699.094295501709,17.642496
10,1,693.0701732635498,17.642496
11,1,695.2650547027588,17.642496
12,1,692.4662590026855,17.642496
13,1,704.0331363677979,17.642496
14,1,692.6393508911133,17.642496
15,1,704.7719955444336,17.642496
16,1,695.2896118164062,17.642496
17,1,702.2502422332764,17.642496
18,1,699.1069316864014,17.642496
19,1,699.3269920349121,17.642496
20,1,701.4775276184082,17.642496
21,1,693.831205368042,17.642496
22,1,701.8499374389648,17.642496
23,1,697.6208686828613,17.642496
24,1,699.9006271362305,17.642496
25,1,700.8705139160156,17.642496
26,1,701.5180587768555,17.642496
27,1,698.4415054321289,17.642496
28,1,696.8262195587158,17.642496
29,1,695.6830024719238,17.642496
30,1,702.1973133087158,17.642496
31,1,695.8363056182861,17.642496
32,1,707.036018371582,17.642496
33,1,690.2649402618408,17.642496
34,1,718.6100482940674,17.642496
35,1,698.1234550476074,17.642496
36,1,688.2750988006592,17.642496
37,1,696.8390941619873,17.642496
38,1,698.2638835906982,17.642496
39,1,693.9733028411865,17.642496
40,1,701.056718826294,17.642496
41,1,696.1476802825928,17.642496
42,1,691.1964416503906,17.642496
43,1,690.6914710998535,17.642496
44,1,692.5926208496094,17.642496
45,1,693.1047439575195,17.642496
46,1,701.3816833496094,17.642496
47,1,717.6799774169922,17.642496
48,1,698.3611583709717,17.642496
49,1,701.2813091278076,17.642496
50,1,698.591947555542,17.642496
51,1,709.7399234771729,17.642496
52,1,689.6719932556152,17.642496
53,1,704.6968936920166,17.642496
54,1,699.3136405944824,17.642496
55,1,697.4222660064697,17.642496
56,1,695.0023174285889,17.642496
57,1,697.8292465209961,17.642496
58,1,690.9258365631104,17.642496
59,1,704.4355869293213,17.642496
60,1,696.5334415435791,17.642496
61,1,693.5055255889893,17.642496
62,1,696.6376304626465,17.642496
63,1,704.7955989837646,17.642496
64,1,704.6539783477783,17.642496
65,1,693.9108371734619,17.642496
66,1,699.0392208099365,17.642496
67,1,697.7438926696777,17.642496
68,1,696.9506740570068,17.642496
69,1,704.7514915466309,17.642496
70,1,699.9185085296631,17.642496
71,1,698.9164352416992,17.642496
72,1,702.16965675354,17.642496
73,1,698.0128288269043,17.642496
74,1,706.7577838897705,17.642496
75,1,706.9923877716064,17.642496
76,1,700.39963722229,17.642496
77,1,692.3210620880127,17.642496
78,1,698.5716819763184,17.642496
79,1,698.272705078125,17.642496
80,1,698.2598304748535,17.642496
81,1,714.5476341247559,17.642496
82,1,690.518856048584,17.642496
83,1,713.308572769165,17.642496
84,1,705.4686546325684,17.642496
85,1,694.5316791534424,17.642496
86,1,699.9161243438721,17.642496
87,1,699.8536586761475,17.642496
88,1,695.2595710754395,17.642496
89,1,695.591926574707,17.642496
90,1,700.249433517456,17.642496
91,1,689.5608901977539,17.642496
92,1,688.7307167053223,17.642496
93,1,697.392463684082,17.642496
94,1,712.3990058898926,17.642496
95,1,696.7527866363525,17.642496
96,1,714.1108512878418,17.642496
97,1,720.9508419036865,17.642496
98,1,704.0762901306152,17.642496
99,1,698.4257698059082,17.642496
100,1,694.5338249206543,17.642496
