repeat,epoch,inference_ms,gpu_mem_MB
1,1,697.1261501312256,52.990976
2,1,699.5813846588135,52.990976
3,1,693.7236785888672,52.990976
4,1,678.4851551055908,52.990976
5,1,718.6069488525391,52.990976
6,1,707.5653076171875,52.990976
7,1,711.9336128234863,52.990976
8,1,713.3920192718506,52.990976
9,1,701.4641761779785,52.990976
10,1,700.6354331970215,52.990976
11,1,694.0014362335205,52.990976
12,1,697.28684425354,52.990976
13,1,704.5562267303467,52.990976
14,1,698.5714435577393,52.990976
15,1,697.6628303527832,52.990976
16,1,712.0544910430908,52.990976
17,1,722.2325801849365,52.990976
18,1,695.0459480285645,52.990976
19,1,706.235408782959,52.990976
20,1,708.2953453063965,52.990976
21,1,700.5503177642822,52.990976
22,1,712.8829956054688,52.990976
23,1,698.3532905578613,52.990976
24,1,705.9056758880615,52.990976
25,1,694.9372291564941,52.990976
26,1,699.9948024749756,52.990976
27,1,692.5251483917236,52.990976
28,1,704.3943405151367,52.990976
29,1,699.7599601745605,52.990976
30,1,676.1519908905029,52.990976
31,1,697.6521015167236,52.990976
32,1,708.1735134124756,52.990976
33,1,702.4860382080078,52.990976
34,1,697.3600387573242,52.990976
35,1,721.0357189178467,52.990976
36,1,700.5784511566162,52.990976
37,1,695.9562301635742,52.990976
38,1,707.8254222869873,52.990976
39,1,697.8557109832764,52.990976
40,1,708.2715034484863,52.990976
41,1,732.3794364929199,52.990976
42,1,700.0668048858643,52.990976
43,1,701.9860744476318,52.990976
44,1,702.6641368865967,52.990976
45,1,699.9902725219727,52.990976
46,1,721.9297885894775,52.990976
47,1,700.3645896911621,52.990976
48,1,705.2593231201172,52.990976
49,1,702.4998664855957,52.990976
50,1,712.1784687042236,52.990976
51,1,708.1723213195801,52.990976
52,1,702.5942802429199,52.990976
53,1,696.5696811676025,52.990976
54,1,714.4320011138916,52.990976
55,1,696.6567039489746,52.990976
56,1,698.4014511108398,52.990976
57,1,710.4678153991699,52.990976
58,1,725.4014015197754,52.990976
59,1,719.3279266357422,52.990976
60,1,708.4457874298096,52.990976
61,1,695.8537101745605,52.990976
62,1,699.2299556732178,52.990976
63,1,702.6424407958984,52.990976
64,1,698.082685470581,52.990976
65,1,701.2648582458496,52.990976
66,1,711.3454341888428,52.990976
67,1,713.6802673339844,52.990976
68,1,694.6330070495605,52.990976
69,1,717.2245979309082,52.990976
70,1,732.8121662139893,52.990976
71,1,696.6767311096191,52.990976
72,1,693.1612491607666,52.990976
73,1,681.5471649169922,52.990976
74,1,703.9155960083008,52.990976
75,1,701.7576694488525,52.990976
76,1,699.5096206665039,52.990976
77,1,711.7581367492676,52.990976
78,1,692.5921440124512,52.990976
79,1,697.9095935821533,52.990976
80,1,695.641279220581,52.990976
81,1,700.5388736724854,52.990976
82,1,730.4213047027588,52.990976
83,1,715.7649993896484,52.990976
84,1,735.7807159423828,52.990976
85,1,713.6199474334717,52.990976
86,1,712.9769325256348,52.990976
87,1,715.7766819000244,52.990976
88,1,702.8367519378662,52.990976
89,1,696.8913078308105,52.990976
90,1,702.639102935791,52.990976
91,1,692.0433044433594,52.990976
92,1,697.2730159759521,52.990976
93,1,712.05735206604,52.990976
94,1,697.4287033081055,52.990976
95,1,705.2915096282959,52.990976
96,1,698.66943359375,52.990976
97,1,696.1183547973633,52.990976
98,1,699.7945308685303,52.990976
99,1,703.6762237548828,52.990976
100,1,699.0087032318115,52.990976
