repeat,epoch,inference_ms,gpu_mem_MB
1,1,710.2270126342773,52.990976
2,1,695.709228515625,52.990976
3,1,716.331958770752,52.990976
4,1,701.9517421722412,52.990976
5,1,707.8979015350342,52.990976
6,1,723.3004570007324,52.990976
7,1,701.3370990753174,52.990976
8,1,708.3861827850342,52.990976
9,1,693.4008598327637,52.990976
10,1,696.5763568878174,52.990976
11,1,703.6538124084473,52.990976
12,1,724.0183353424072,52.990976
13,1,701.0297775268555,52.990976
14,1,699.7528076171875,52.990976
15,1,712.0540142059326,52.990976
16,1,696.7682838439941,52.990976
17,1,719.8119163513184,52.990976
18,1,702.2590637207031,52.990976
19,1,703.6302089691162,52.990976
20,1,704.0257453918457,52.990976
21,1,703.2639980316162,52.990976
22,1,671.4513301849365,52.990976
23,1,697.7121829986572,52.990976
24,1,700.5951404571533,52.990976
25,1,689.7580623626709,52.990976
26,1,697.9386806488037,52.990976
27,1,692.9810047149658,52.990976
28,1,696.1257457733154,52.990976
29,1,697.6735591888428,52.990976
30,1,702.8014659881592,52.990976
31,1,697.1240043640137,52.990976
32,1,692.5308704376221,52.990976
33,1,703.7968635559082,52.990976
34,1,702.4943828582764,52.990976
35,1,691.6713714599609,52.990976
36,1,700.3641128540039,52.990976
37,1,708.6305618286133,52.990976
38,1,719.1522121429443,52.990976
39,1,718.1699275970459,52.990976
40,1,702.6655673980713,52.990976
41,1,706.1481475830078,52.990976
42,1,676.8407821655273,52.990976
43,1,724.3893146514893,52.990976
44,1,700.6721496582031,52.990976
45,1,700.4072666168213,52.990976
46,1,698.5917091369629,52.990976
47,1,704.4286727905273,52.990976
48,1,705.6336402893066,52.990976
49,1,701.68137550354,52.990976
50,1,688.4737014770508,52.990976
51,1,698.1477737426758,52.990976
52,1,699.7346878051758,52.990976
53,1,712.7587795257568,52.990976
54,1,711.87424659729,52.990976
55,1,698.0602741241455,52.990976
56,1,694.5602893829346,52.990976
57,1,697.6935863494873,52.990976
58,1,700.2420425415039,52.990976
59,1,699.9123096466064,52.990976
60,1,699.1622447967529,52.990976
61,1,726.8707752227783,52.990976
62,1,708.2321643829346,52.990976
63,1,697.8774070739746,52.990976
64,1,706.5854072570801,52.990976
65,1,703.5801410675049,52.990976
66,1,701.894998550415,52.990976
67,1,711.1916542053223,52.990976
68,1,702.6853561401367,52.990976
69,1,732.3324680328369,52.990976
70,1,731.776237487793,52.990976
71,1,702.660083770752,52.990976
72,1,699.7363567352295,52.990976
73,1,704.0834426879883,52.990976
74,1,728.003740310669,52.990976
75,1,699.5222568511963,52.990976
76,1,710.7748985290527,52.990976
77,1,708.2056999206543,52.990976
78,1,743.4349060058594,52.990976
79,1,728.4915447235107,52.990976
80,1,719.6636199951172,52.990976
81,1,705.1434516906738,52.990976
82,1,705.2831649780273,52.990976
83,1,704.2021751403809,52.990976
84,1,701.725959777832,52.990976
85,1,710.4032039642334,52.990976
86,1,707.2205543518066,52.990976
87,1,710.6614112854004,52.990976
88,1,717.4031734466553,52.990976
89,1,700.1032829284668,52.990976
90,1,699.1088390350342,52.990976
91,1,701.0335922241211,52.990976
92,1,696.0165500640869,52.990976
93,1,697.0736980438232,52.990976
94,1,696.3653564453125,52.990976
95,1,701.3435363769531,52.990976
96,1,715.4500484466553,52.990976
97,1,715.2218818664551,52.990976
98,1,694.4968700408936,52.990976
99,1,697.7529525756836,52.990976
100,1,705.864667892456,52.990976
