repeat,epoch,inference_ms,gpu_mem_MB
1,1,708.1711292266846,52.990976
2,1,705.1243782043457,52.990976
3,1,714.0741348266602,52.990976
4,1,716.3467407226562,52.990976
5,1,721.855878829956,52.990976
6,1,711.5111351013184,52.990976
7,1,716.4719104766846,52.990976
8,1,703.7525177001953,52.990976
9,1,706.5446376800537,52.990976
10,1,717.4534797668457,52.990976
11,1,708.1670761108398,52.990976
12,1,702.1932601928711,52.990976
13,1,707.6034545898438,52.990976
14,1,708.2409858703613,52.990976
15,1,683.3853721618652,52.990976
16,1,712.2313976287842,52.990976
17,1,708.9407444000244,52.990976
18,1,734.5120906829834,52.990976
19,1,742.3045635223389,52.990976
20,1,711.7795944213867,52.990976
21,1,724.9257564544678,52.990976
22,1,716.1273956298828,52.990976
23,1,699.8546123504639,52.990976
24,1,732.778787612915,52.990976
25,1,719.7310924530029,52.990976
26,1,727.9515266418457,52.990976
27,1,699.4147300720215,52.990976
28,1,704.369068145752,52.990976
29,1,704.1757106781006,52.990976
30,1,699.1069316864014,52.990976
31,1,708.3637714385986,52.990976
32,1,715.2128219604492,52.990976
33,1,724.1532802581787,52.990976
34,1,718.2826995849609,52.990976
35,1,707.4470520019531,52.990976
36,1,698.005199432373,52.990976
37,1,718.4202671051025,52.990976
38,1,705.6910991668701,52.990976
39,1,703.3584117889404,52.990976
40,1,704.8571109771729,52.990976
41,1,707.3900699615479,52.990976
42,1,716.2797451019287,52.990976
43,1,711.9729518890381,52.990976
44,1,712.1188640594482,52.990976
45,1,702.6095390319824,52.990976
46,1,713.2747173309326,52.990976
47,1,713.5515213012695,52.990976
48,1,709.5580101013184,52.990976
49,1,713.7002944946289,52.990976
50,1,709.4378471374512,52.990976
51,1,717.2207832336426,52.990976
52,1,741.7223453521729,52.990976
53,1,715.0425910949707,52.990976
54,1,713.773250579834,52.990976
55,1,729.4697761535645,52.990976
56,1,702.8675079345703,52.990976
57,1,709.3195915222168,52.990976
58,1,703.1128406524658,52.990976
59,1,747.0381259918213,52.990976
60,1,700.0827789306641,52.990976
61,1,715.2516841888428,52.990976
62,1,705.1393985748291,52.990976
63,1,709.7456455230713,52.990976
64,1,723.2546806335449,52.990976
65,1,744.5054054260254,52.990976
66,1,704.3845653533936,52.990976
67,1,726.1312007904053,52.990976
68,1,706.5768241882324,52.990976
69,1,723.2201099395752,52.990976
70,1,727.6537418365479,52.990976
71,1,740.9942150115967,52.990976
72,1,740.4017448425293,52.990976
73,1,704.6973705291748,52.990976
74,1,710.3040218353271,52.990976
75,1,744.5509433746338,52.990976
76,1,709.2962265014648,52.990976
77,1,724.3657112121582,52.990976
78,1,722.1405506134033,52.990976
79,1,736.2558841705322,52.990976
80,1,711.8091583251953,52.990976
81,1,736.9256019592285,52.990976
82,1,715.9130573272705,52.990976
83,1,709.4340324401855,52.990976
84,1,715.5375480651855,52.990976
85,1,728.7428379058838,52.990976
86,1,727.6763916015625,52.990976
87,1,713.7513160705566,52.990976
88,1,724.7686386108398,52.990976
89,1,708.6811065673828,52.990976
90,1,717.6086902618408,52.990976
91,1,699.2785930633545,52.990976
92,1,700.873613357544,52.990976
93,1,713.8090133666992,52.990976
94,1,717.2656059265137,52.990976
95,1,713.6456966400146,52.990976
96,1,708.0962657928467,52.990976
97,1,716.5563106536865,52.990976
98,1,716.5324687957764,52.990976
99,1,706.0401439666748,52.990976
100,1,721.6887474060059,52.990976
