repeat,epoch,inference_ms,gpu_mem_MB
1,1,731.7781448364258,17.642496
2,1,726.377010345459,17.642496
3,1,704.9601078033447,17.642496
4,1,709.6662521362305,17.642496
5,1,699.3498802185059,17.642496
6,1,718.0500030517578,17.642496
7,1,707.4086666107178,17.642496
8,1,703.6943435668945,17.642496
9,1,711.8830680847168,17.642496
10,1,706.2366008758545,17.642496
11,1,708.1429958343506,17.642496
12,1,708.247184753418,17.642496
13,1,704.50758934021,17.642496
14,1,709.014892578125,17.642496
15,1,709.3784809112549,17.642496
16,1,708.7528705596924,17.642496
17,1,711.3502025604248,17.642496
18,1,710.6800079345703,17.642496
19,1,705.5516242980957,17.642496
20,1,714.9276733398438,17.642496
21,1,715.8887386322021,17.642496
22,1,727.8890609741211,17.642496
23,1,711.313009262085,17.642496
24,1,707.2060108184814,17.642496
25,1,705.1069736480713,17.642496
26,1,700.9990215301514,17.642496
27,1,708.43505859375,17.642496
28,1,702.0726203918457,17.642496
29,1,712.7530574798584,17.642496
30,1,704.8931121826172,17.642496
31,1,702.35276222229,17.642496
32,1,707.4165344238281,17.642496
33,1,711.1823558807373,17.642496
34,1,709.7368240356445,17.642496
35,1,711.9526863098145,17.642496
36,1,706.6872119903564,17.642496
37,1,703.4876346588135,17.642496
38,1,698.3160972595215,17.642496
39,1,707.5822353363037,17.642496
40,1,705.0971984863281,17.642496
41,1,719.8536396026611,17.642496
42,1,711.2686634063721,17.642496
43,1,705.8596611022949,17.642496
44,1,705.9519290924072,17.642496
45,1,705.8873176574707,17.642496
46,1,708.2662582397461,17.642496
47,1,711.174488067627,17.642496
48,1,713.1247520446777,17.642496
49,1,712.0773792266846,17.642496
50,1,705.8436870574951,17.642496
51,1,712.775468826294,17.642496
52,1,710.1161479949951,17.642496
53,1,715.1083946228027,17.642496
54,1,708.1398963928223,17.642496
55,1,709.8827362060547,17.642496
56,1,704.3440341949463,17.642496
57,1,704.2820453643799,17.642496
58,1,714.7738933563232,17.642496
59,1,703.5856246948242,17.642496
60,1,706.3443660736084,17.642496
61,1,720.2427387237549,17.642496
62,1,719.4547653198242,17.642496
63,1,726.1257171630859,17.642496
64,1,716.5896892547607,17.642496
65,1,721.5824127197266,17.642496
66,1,728.9731502532959,17.642496
67,1,708.9567184448242,17.642496
68,1,707.7515125274658,17.642496
69,1,708.1234455108643,17.642496
70,1,709.24973487854,17.642496
71,1,700.1769542694092,17.642496
72,1,707.1421146392822,17.642496
73,1,710.0708484649658,17.642496
74,1,703.1252384185791,17.642496
75,1,707.3724269866943,17.642496
76,1,710.554838180542,17.642496
77,1,701.6470432281494,17.642496
78,1,721.7557430267334,17.642496
79,1,713.0956649780273,17.642496
80,1,721.1153507232666,17.642496
81,1,712.8043174743652,17.642496
82,1,706.549882888794,17.642496
83,1,699.9428272247314,17.642496
84,1,716.7112827301025,17.642496
85,1,707.6144218444824,17.642496
86,1,708.3785533905029,17.642496
87,1,699.1934776306152,17.642496
88,1,712.0523452758789,17.642496
89,1,703.7074565887451,17.642496
90,1,707.80348777771,17.642496
91,1,715.5599594116211,17.642496
92,1,718.7402248382568,17.642496
93,1,712.275505065918,17.642496
94,1,706.2621116638184,17.642496
95,1,717.0629501342773,17.642496
96,1,703.0272483825684,17.642496
97,1,704.5948505401611,17.642496
98,1,724.665641784668,17.642496
99,1,705.7821750640869,17.642496
100,1,700.1693248748779,17.642496
