repeat,epoch,inference_ms,gpu_mem_MB
1,1,705.3489685058594,52.286976
2,1,709.9881172180176,52.286976
3,1,700.5183696746826,52.286976
4,1,695.6608295440674,52.286976
5,1,704.2853832244873,52.286976
6,1,677.0355701446533,52.286976
7,1,691.8084621429443,52.286976
8,1,687.659740447998,52.286976
9,1,690.4540061950684,52.286976
10,1,692.8122043609619,52.286976
11,1,690.5148029327393,52.286976
12,1,698.8673210144043,52.286976
13,1,700.9081840515137,52.286976
14,1,708.84108543396,52.286976
15,1,696.7289447784424,52.286976
16,1,714.5810127258301,52.286976
17,1,697.2558498382568,52.286976
18,1,695.0259208679199,52.286976
19,1,691.3363933563232,52.286976
20,1,692.2571659088135,52.286976
21,1,687.8845691680908,52.286976
22,1,697.4155902862549,52.286976
23,1,703.0420303344727,52.286976
24,1,703.3209800720215,52.286976
25,1,695.2226161956787,52.286976
26,1,692.0902729034424,52.286976
27,1,703.2420635223389,52.286976
28,1,687.9730224609375,52.286976
29,1,704.892635345459,52.286976
30,1,687.3335838317871,52.286976
31,1,700.4022598266602,52.286976
32,1,687.9994869232178,52.286976
33,1,691.4129257202148,52.286976
34,1,691.3769245147705,52.286976
35,1,684.4584941864014,52.286976
36,1,690.3157234191895,52.286976
37,1,704.3542861938477,52.286976
38,1,706.5043449401855,52.286976
39,1,693.1025981903076,52.286976
40,1,694.3559646606445,52.286976
41,1,690.4966831207275,52.286976
42,1,697.5374221801758,52.286976
43,1,695.7643032073975,52.286976
44,1,692.7752494812012,52.286976
45,1,707.90696144104,52.286976
46,1,701.5612125396729,52.286976
47,1,714.2078876495361,52.286976
48,1,695.7664489746094,52.286976
49,1,698.7125873565674,52.286976
50,1,691.8051242828369,52.286976
51,1,701.0173797607422,52.286976
52,1,714.2109870910645,52.286976
53,1,696.2244510650635,52.286976
54,1,691.1678314208984,52.286976
55,1,709.5093727111816,52.286976
56,1,695.4076290130615,52.286976
57,1,695.7004070281982,52.286976
58,1,690.0317668914795,52.286976
59,1,695.9259510040283,52.286976
60,1,692.5623416900635,52.286976
61,1,695.6901550292969,52.286976
62,1,695.6017017364502,52.286976
63,1,686.3691806793213,52.286976
64,1,713.421106338501,52.286976
65,1,697.79372215271,52.286976
66,1,694.5397853851318,52.286976
67,1,693.098783493042,52.286976
68,1,694.9818134307861,52.286976
69,1,699.3234157562256,52.286976
70,1,695.1613426208496,52.286976
71,1,696.770191192627,52.286976
72,1,696.4273452758789,52.286976
73,1,692.7504539489746,52.286976
74,1,696.0816383361816,52.286976
75,1,704.3991088867188,52.286976
76,1,699.9928951263428,52.286976
77,1,701.2989521026611,52.286976
78,1,697.9677677154541,52.286976
79,1,695.6064701080322,52.286976
80,1,701.1666297912598,52.286976
81,1,699.4390487670898,52.286976
82,1,691.3232803344727,52.286976
83,1,692.7201747894287,52.286976
84,1,700.37841796875,52.286976
85,1,691.2961006164551,52.286976
86,1,696.345329284668,52.286976
87,1,698.7004280090332,52.286976
88,1,696.6001987457275,52.286976
89,1,693.0601596832275,52.286976
90,1,703.7763595581055,52.286976
91,1,695.0497627258301,52.286976
92,1,683.7258338928223,52.286976
93,1,688.7631416320801,52.286976
94,1,693.1545734405518,52.286976
95,1,692.0526027679443,52.286976
96,1,705.6617736816406,52.286976
97,1,696.1548328399658,52.286976
98,1,690.8378601074219,52.286976
99,1,716.970682144165,52.286976
100,1,708.6713314056396,52.286976
