repeat,epoch,inference_ms,gpu_mem_MB
1,1,715.0964736938477,17.642496
2,1,706.0134410858154,17.642496
3,1,712.1336460113525,17.642496
4,1,708.1406116485596,17.642496
5,1,714.3676280975342,17.642496
6,1,713.8617038726807,17.642496
7,1,707.8359127044678,17.642496
8,1,712.4550342559814,17.642496
9,1,705.4386138916016,17.642496
10,1,713.1431102752686,17.642496
11,1,705.2645683288574,17.642496
12,1,703.9027214050293,17.642496
13,1,721.2960720062256,17.642496
14,1,709.3119621276855,17.642496
15,1,713.0932807922363,17.642496
16,1,711.1654281616211,17.642496
17,1,709.3183994293213,17.642496
18,1,715.4459953308105,17.642496
19,1,701.7889022827148,17.642496
20,1,710.080623626709,17.642496
21,1,707.5099945068359,17.642496
22,1,705.3961753845215,17.642496
23,1,711.4572525024414,17.642496
24,1,719.1712856292725,17.642496
25,1,710.0667953491211,17.642496
26,1,721.7886447906494,17.642496
27,1,714.7150039672852,17.642496
28,1,711.0538482666016,17.642496
29,1,691.5321350097656,17.642496
30,1,700.4010677337646,17.642496
31,1,703.6917209625244,17.642496
32,1,713.0680084228516,17.642496
33,1,698.7893581390381,17.642496
34,1,709.484338760376,17.642496
35,1,719.9816703796387,17.642496
36,1,703.0735015869141,17.642496
37,1,701.5714645385742,17.642496
38,1,713.6058807373047,17.642496
39,1,708.6749076843262,17.642496
40,1,711.7774486541748,17.642496
41,1,686.577558517456,17.642496
42,1,719.3467617034912,17.642496
43,1,705.1537036895752,17.642496
44,1,718.1992530822754,17.642496
45,1,711.7705345153809,17.642496
46,1,698.3799934387207,17.642496
47,1,708.8549137115479,17.642496
48,1,704.9770355224609,17.642496
49,1,708.7657451629639,17.642496
50,1,716.299295425415,17.642496
51,1,713.874101638794,17.642496
52,1,707.660436630249,17.642496
53,1,743.3102130889893,17.642496
54,1,720.4148769378662,17.642496
55,1,708.8711261749268,17.642496
56,1,707.2157859802246,17.642496
57,1,710.4759216308594,17.642496
58,1,707.6075077056885,17.642496
59,1,719.245433807373,17.642496
60,1,703.4475803375244,17.642496
61,1,710.6411457061768,17.642496
62,1,719.4604873657227,17.642496
63,1,708.5754871368408,17.642496
64,1,722.541093826294,17.642496
65,1,707.4167728424072,17.642496
66,1,714.6573066711426,17.642496
67,1,708.6820602416992,17.642496
68,1,709.0933322906494,17.642496
69,1,707.862138748169,17.642496
70,1,704.9908638000488,17.642496
71,1,719.3505764007568,17.642496
72,1,709.8016738891602,17.642496
73,1,716.6192531585693,17.642496
74,1,707.6597213745117,17.642496
75,1,717.5109386444092,17.642496
76,1,709.0117931365967,17.642496
77,1,705.9450149536133,17.642496
78,1,712.1446132659912,17.642496
79,1,712.3575210571289,17.642496
80,1,703.8536071777344,17.642496
81,1,712.5394344329834,17.642496
82,1,717.8952693939209,17.642496
83,1,716.9647216796875,17.642496
84,1,718.5125350952148,17.642496
85,1,708.587646484375,17.642496
86,1,711.4875316619873,17.642496
87,1,708.5540294647217,17.642496
88,1,710.7017040252686,17.642496
89,1,714.6458625793457,17.642496
90,1,716.2816524505615,17.642496
91,1,714.9679660797119,17.642496
92,1,698.5640525817871,17.642496
93,1,721.7416763305664,17.642496
94,1,706.9532871246338,17.642496
95,1,735.81862449646,17.642496
96,1,718.2047367095947,17.642496
97,1,709.3174457550049,17.642496
98,1,719.6528911590576,17.642496
99,1,707.9129219055176,17.642496
100,1,720.0920581817627,17.642496
